id	country	sampling date d/m/Y
EPI_ISL_412979	China	18/01/2020
EPI_ISL_412980	China	18/01/2020
EPI_ISL_412981	China	18/01/2020
EPI_ISL_412982	China	07/02/2020
EPI_ISL_412983	China	08/02/2020
EPI_ISL_413014	Canada	25/01/2020
EPI_ISL_413015	Canada	23/01/2020
EPI_ISL_413016	Brazil	28/02/2020
EPI_ISL_413017	South Korea	06/02/2020
EPI_ISL_413018	South Korea	06/02/2020
EPI_ISL_413019	Switzerland	26/02/2020
EPI_ISL_413020	Switzerland	27/02/2020
EPI_ISL_413021	Switzerland	29/02/2020
EPI_ISL_413022	Switzerland	29/02/2020
EPI_ISL_413023	Switzerland	29/02/2020
EPI_ISL_413024	Switzerland	29/02/2020
EPI_ISL_413025	USA	27/02/2020
EPI_ISL_413213	Australia	29/02/2020
EPI_ISL_413214	Australia	29/02/2020
EPI_ISL_413221	United Kingdom	02/03/2020
EPI_ISL_413455	USA	28/02/2020
EPI_ISL_413456	USA	20/02/2020
EPI_ISL_413457	USA	29/02/2020
EPI_ISL_413458	USA	01/03/2020
EPI_ISL_413459	Japan	20/02/2020
EPI_ISL_413485	China	24/01/2020
EPI_ISL_413486	USA	01/03/2020
EPI_ISL_413487	USA	01/03/2020
EPI_ISL_413488	Germany	28/02/2020
EPI_ISL_413489	Italy	03/03/2020
EPI_ISL_413490	New Zealand	27/02/2020
EPI_ISL_413513	South Korea	27/02/2020
EPI_ISL_413514	South Korea	27/02/2020
EPI_ISL_413515	South Korea	27/02/2020
EPI_ISL_413516	South Korea	27/02/2020
EPI_ISL_413518	China	26/01/2020
EPI_ISL_413519	China	28/01/2020
EPI_ISL_413520	China	28/01/2020
EPI_ISL_413521	China	28/01/2020
EPI_ISL_413522	India	27/01/2020
EPI_ISL_413523	India	31/01/2020
EPI_ISL_413550	Nigeria	27/02/2020
EPI_ISL_413555	United Kingdom	27/02/2020
EPI_ISL_413556	United Kingdom	04/03/2020
EPI_ISL_413557	USA	28/02/2020
EPI_ISL_413558	USA	27/02/2020
EPI_ISL_413559	USA	27/02/2020
EPI_ISL_413560	USA	28/02/2020
EPI_ISL_413561	USA	27/02/2020
EPI_ISL_413562	USA	02/03/2020
EPI_ISL_413563	USA	03/03/2020
EPI_ISL_413564	Netherlands	01/03/2020
EPI_ISL_413565	Netherlands	24/02/2020
EPI_ISL_413566	Netherlands	02/03/2020
EPI_ISL_413568	Netherlands	01/03/2020
EPI_ISL_413569	Netherlands	28/02/2020
EPI_ISL_413570	Netherlands	28/02/2020
EPI_ISL_413571	Netherlands	02/03/2020
EPI_ISL_413572	Netherlands	01/03/2020
EPI_ISL_413573	Netherlands	02/03/2020
EPI_ISL_413574	Netherlands	29/02/2020
EPI_ISL_413575	Netherlands	29/02/2020
EPI_ISL_413576	Netherlands	29/02/2020
EPI_ISL_413577	Netherlands	02/03/2020
EPI_ISL_413578	Netherlands	01/03/2020
EPI_ISL_413579	Netherlands	03/03/2020
EPI_ISL_413580	Netherlands	02/03/2020
EPI_ISL_413581	Netherlands	29/02/2020
EPI_ISL_413582	Netherlands	01/03/2020
EPI_ISL_413583	Netherlands	02/03/2020
EPI_ISL_413584	Netherlands	03/03/2020
EPI_ISL_413586	Netherlands	27/02/2020
EPI_ISL_413587	Netherlands	03/03/2020
EPI_ISL_413588	Netherlands	01/03/2020
EPI_ISL_413589	Netherlands	01/03/2020
EPI_ISL_413590	Netherlands	02/03/2020
EPI_ISL_413591	Netherlands	02/03/2020
EPI_ISL_413592	Taiwan	02/03/2020
EPI_ISL_413593	Luxembourg	29/02/2020
EPI_ISL_413594	Australia	28/02/2020
EPI_ISL_413595	Australia	28/02/2020
EPI_ISL_413596	Australia	28/02/2020
EPI_ISL_413597	Australia	02/03/2020
EPI_ISL_413598	Australia	04/03/2020
EPI_ISL_413599	Australia	04/03/2020
EPI_ISL_413600	Australia	03/03/2020
EPI_ISL_413601	USA	02/03/2020
EPI_ISL_413602	Finland	03/03/2020
EPI_ISL_413603	Finland	03/03/2020
EPI_ISL_413604	Finland	03/03/2020
EPI_ISL_413605	Finland	01/03/2020
EPI_ISL_413647	Portugal	01/03/2020
EPI_ISL_413648	Portugal	01/03/2020
EPI_ISL_413649	USA	05/03/2020
EPI_ISL_413650	USA	05/03/2020
EPI_ISL_413651	USA	05/03/2020
EPI_ISL_413652	USA	05/03/2020
EPI_ISL_413653	USA	05/03/2020
EPI_ISL_413691	China	01/01/2020
EPI_ISL_413697	China	01/02/2020
EPI_ISL_413711	China	01/02/2020
EPI_ISL_413729	China	01/02/2020
EPI_ISL_413746	China	01/02/2020
EPI_ISL_413747	China	01/02/2020
EPI_ISL_413748	China	01/02/2020
EPI_ISL_413749	China	01/02/2020
EPI_ISL_413750	China	01/02/2020
EPI_ISL_413751	China	01/02/2020
EPI_ISL_413752	China	01/02/2020
EPI_ISL_413753	China	01/02/2020
EPI_ISL_413761	China	01/02/2020
EPI_ISL_413791	China	01/02/2020
EPI_ISL_413809	China	01/02/2020
EPI_ISL_413850	China	10/02/2020
EPI_ISL_413851	China	30/01/2020
EPI_ISL_413852	China	30/01/2020
EPI_ISL_413853	China	30/01/2020
EPI_ISL_413854	China	30/01/2020
EPI_ISL_413855	China	07/02/2020
EPI_ISL_413856	China	07/02/2020
EPI_ISL_413857	China	31/01/2020
EPI_ISL_413858	China	30/01/2020
EPI_ISL_413859	China	31/01/2020
EPI_ISL_413860	China	30/01/2020
EPI_ISL_413861	China	01/02/2020
EPI_ISL_413862	China	01/02/2020
EPI_ISL_413863	China	01/02/2020
EPI_ISL_413864	China	09/02/2020
EPI_ISL_413866	China	05/02/2020
EPI_ISL_413867	China	05/02/2020
EPI_ISL_413869	China	28/02/2020
EPI_ISL_413872	China	28/02/2020
EPI_ISL_413874	China	12/02/2020
EPI_ISL_413875	China	10/02/2020
EPI_ISL_413882	China	02/02/2020
EPI_ISL_413884	China	01/02/2020
EPI_ISL_413888	China	30/01/2020
EPI_ISL_413889	China	30/01/2020
EPI_ISL_413922	USA	05/03/2020
EPI_ISL_413924	USA	05/03/2020
EPI_ISL_413925	USA	05/03/2020
EPI_ISL_413926	USA	05/03/2020
EPI_ISL_413928	USA	05/03/2020
EPI_ISL_413931	USA	05/03/2020
EPI_ISL_413996	Switzerland	24/02/2020
EPI_ISL_413997	Switzerland	26/02/2020
EPI_ISL_413999	Switzerland	27/02/2020
EPI_ISL_414005	United Kingdom	25/02/2020
EPI_ISL_414006	United Kingdom	28/02/2020
EPI_ISL_414007	United Kingdom	28/02/2020
EPI_ISL_414008	United Kingdom	27/02/2020
EPI_ISL_414009	United Kingdom	25/02/2020
EPI_ISL_414010	United Kingdom	26/02/2020
EPI_ISL_414011	United Kingdom	26/02/2020
EPI_ISL_414012	United Kingdom	27/02/2020
EPI_ISL_414013	United Kingdom	01/03/2020
EPI_ISL_414014	Brazil	02/03/2020
EPI_ISL_414015	Brazil	29/02/2020
EPI_ISL_414016	Brazil	29/02/2020
EPI_ISL_414017	Brazil	04/03/2020
EPI_ISL_414019	Switzerland	27/02/2020
EPI_ISL_414020	Switzerland	27/02/2020
EPI_ISL_414021	Switzerland	27/02/2020
EPI_ISL_414022	Switzerland	27/02/2020
EPI_ISL_414023	Switzerland	01/03/2020
EPI_ISL_414024	United Kingdom	02/03/2020
EPI_ISL_414025	United Kingdom	01/03/2020
EPI_ISL_414026	United Kingdom	04/03/2020
EPI_ISL_414027	United Kingdom	04/03/2020
EPI_ISL_414040	United Kingdom	05/02/2020
EPI_ISL_414041	United Kingdom	08/02/2020
EPI_ISL_414042	United Kingdom	08/02/2020
EPI_ISL_414043	United Kingdom	07/02/2020
EPI_ISL_414044	United Kingdom	08/02/2020
EPI_ISL_414045	Brazil	04/03/2020
EPI_ISL_414363	USA	04/03/2020
EPI_ISL_414364	USA	05/03/2020
EPI_ISL_414365	USA	06/03/2020
EPI_ISL_414366	USA	05/03/2020
EPI_ISL_414367	USA	05/03/2020
EPI_ISL_414368	USA	05/03/2020
EPI_ISL_414369	USA	05/03/2020
EPI_ISL_414378	Singapore	17/02/2020
EPI_ISL_414379	Singapore	18/02/2020
EPI_ISL_414380	Singapore	13/02/2020
EPI_ISL_414414	Australia	29/02/2020
EPI_ISL_414423	Netherlands	02/03/2020
EPI_ISL_414424	Netherlands	03/03/2020
EPI_ISL_414425	Netherlands	03/03/2020
EPI_ISL_414426	Netherlands	03/03/2020
EPI_ISL_414427	Netherlands	03/03/2020
EPI_ISL_414428	Netherlands	02/03/2020
EPI_ISL_414429	Netherlands	02/03/2020
EPI_ISL_414430	Netherlands	05/03/2020
EPI_ISL_414431	Netherlands	02/03/2020
EPI_ISL_414432	Netherlands	02/03/2020
EPI_ISL_414433	Netherlands	03/03/2020
EPI_ISL_414434	Netherlands	03/03/2020
EPI_ISL_414435	Netherlands	03/03/2020
EPI_ISL_414436	Netherlands	03/03/2020
EPI_ISL_414437	Netherlands	03/03/2020
EPI_ISL_414438	Netherlands	03/03/2020
EPI_ISL_414439	Netherlands	02/03/2020
EPI_ISL_414440	Netherlands	03/03/2020
EPI_ISL_414441	Netherlands	03/03/2020
EPI_ISL_414442	Netherlands	03/03/2020
EPI_ISL_414443	Netherlands	03/03/2020
EPI_ISL_414444	Netherlands	02/03/2020
EPI_ISL_414445	Netherlands	03/03/2020
EPI_ISL_414446	Netherlands	03/03/2020
EPI_ISL_414448	Netherlands	04/03/2020
EPI_ISL_414449	Netherlands	03/03/2020
EPI_ISL_414450	Netherlands	06/03/2020
EPI_ISL_414451	Netherlands	06/03/2020
EPI_ISL_414452	Netherlands	06/03/2020
EPI_ISL_414453	Netherlands	06/03/2020
EPI_ISL_414454	Netherlands	05/03/2020
EPI_ISL_414455	Netherlands	06/03/2020
EPI_ISL_414456	Netherlands	04/03/2020
EPI_ISL_414457	Netherlands	06/03/2020
EPI_ISL_414458	Netherlands	05/03/2020
EPI_ISL_414459	Netherlands	06/03/2020
EPI_ISL_414460	Netherlands	03/03/2020
EPI_ISL_414461	Netherlands	04/03/2020
EPI_ISL_414462	Netherlands	04/03/2020
EPI_ISL_414463	Netherlands	04/03/2020
EPI_ISL_414464	Netherlands	04/03/2020
EPI_ISL_414465	Netherlands	04/03/2020
EPI_ISL_414466	Netherlands	04/03/2020
EPI_ISL_414467	Netherlands	05/03/2020
EPI_ISL_414468	Netherlands	06/03/2020
EPI_ISL_414469	Netherlands	04/03/2020
EPI_ISL_414470	Netherlands	06/03/2020
EPI_ISL_414471	Netherlands	05/03/2020
EPI_ISL_414476	USA	29/02/2020
EPI_ISL_414477	Czech Republic	01/03/2020
EPI_ISL_414486	United Kingdom	07/03/2020
EPI_ISL_414487	Ireland	04/03/2020
EPI_ISL_414488	United Kingdom	08/03/2020
EPI_ISL_414495	Spain	08/03/2020
EPI_ISL_414496	Spain	04/03/2020
EPI_ISL_414497	Germany	25/02/2020
EPI_ISL_414498	Germany	26/02/2020
EPI_ISL_414499	Germany	26/02/2020
EPI_ISL_414500	United Kingdom	04/03/2020
EPI_ISL_414501	United Kingdom	03/03/2020
EPI_ISL_414504	Germany	26/02/2020
EPI_ISL_414505	Germany	27/02/2020
EPI_ISL_414506	Germany	27/02/2020
EPI_ISL_414507	Germany	03/03/2020
EPI_ISL_414508	Germany	27/02/2020
